1,3M,FLLFPO,,CAR-USA,2023-07,ADD,0.3,0.5,0.1,19,28,9.0,0.5,2023-02-26,2023-03-05,2.0
1,3M,FLLGGT,,CAR-USA,2023-07,ADD,0.9,1.2,0.3,63,81,18.0,0.3,2023-02-26,2023-03-05,2.0
1,3M,FLLMCO,,USA-USA,2023-07,ADD,1.4,1.6,0.2,95,111,16.0,0.2,2023-02-26,2023-03-05,2.0
1,3M,FLLMHH,,CAR-USA,2023-07,ADD,0.6,1,0.4,36,65,29.0,0.8,2023-02-26,2023-03-05,2.0
1,3M,FLLSAV,,USA-USA,2023-07,ADD,0.3,0.6,0.3,20,41,21.0,1.1,2023-02-26,2023-03-05,2.0
1,3M,FLLTPA,,USA-USA,2023-07,ADD,0.5,1.3,0.8,23,62,39.0,1.7,2023-02-26,2023-03-05,2.0
1,3M,HSVMCO,,USA-USA,2023-07,ADD,0.5,0.7,0.2,36,52,16.0,0.4,2023-02-26,2023-03-05,2.0
1,3M,PNSTPA,,USA-USA,2023-07,ADD,1,1.3,0.2,48,58,10.0,0.2,2023-02-26,2023-03-05,2.0
1,3M,TLHTPA,,USA-USA,2023-07,ADD,0.7,0.8,0.1,33,39,6.0,0.2,2023-02-26,2023-03-05,2.0
2,3M,TOTAL,,,2023-07,ADD,-,-,-,-,-,341.0,0.5,2023-02-26,2023-03-05,
1,3M,SAVTPA,,USA-USA,2023-08,NEW,0.0,0.2,0.2,0,7,7.0,1.0,2023-02-26,2023-03-05,1.0
1,3M,BIMFLL,,CAR-USA,2023-08,ADD,0.1,0.3,0.2,6,18,12.0,2.0,2023-02-26,2023-03-05,2.0
1,3M,CHSFLL,,USA-USA,2023-08,ADD,0.5,0.8,0.2,35,51,16.0,0.5,2023-02-26,2023-03-05,2.0
1,3M,CHSTPA,,USA-USA,2023-08,ADD,0.3,0.5,0.3,12,25,13.0,1.1,2023-02-26,2023-03-05,2.0
1,3M,ELHFLL,,CAR-USA,2023-08,ADD,0.7,0.9,0.2,46,62,16.0,0.3,2023-02-26,2023-03-05,2.0
1,3M,EYWFLL,,USA-USA,2023-08,ADD,0.3,0.4,0.2,15,25,10.0,0.7,2023-02-26,2023-03-05,2.0
1,3M,EYWMCO,,USA-USA,2023-08,ADD,1.6,1.6,0.1,73,76,3.0,0.0,2023-02-26,2023-03-05,2.0
1,3M,EYWTPA,,USA-USA,2023-08,ADD,1.4,1.7,0.3,65,77,12.0,0.2,2023-02-26,2023-03-05,2.0
1,3M,FLLFPO,,CAR-USA,2023-08,ADD,0.3,0.3,0.1,15,19,4.0,0.3,2023-02-26,2023-03-05,2.0
1,3M,FLLGGT,,CAR-USA,2023-08,ADD,0.8,1,0.2,56,68,12.0,0.2,2023-02-26,2023-03-05,2.0
1,3M,FLLMCO,,USA-USA,2023-08,ADD,1.4,1.5,0.1,95,102,7.0,0.1,2023-02-26,2023-03-05,2.0
1,3M,FLLMHH,,CAR-USA,2023-08,ADD,0.5,0.7,0.2,28,42,14.0,0.5,2023-02-26,2023-03-05,2.0
1,3M,FLLSAV,,USA-USA,2023-08,ADD,0.3,0.5,0.2,20,32,12.0,0.6,2023-02-26,2023-03-05,2.0
1,3M,FLLTPA,,USA-USA,2023-08,ADD,0.5,0.9,0.4,23,42,19.0,0.8,2023-02-26,2023-03-05,2.0
1,3M,HSVMCO,,USA-USA,2023-08,ADD,0.5,0.6,0.1,34,41,7.0,0.2,2023-02-26,2023-03-05,2.0
1,3M,PNSTPA,,USA-USA,2023-08,ADD,1.1,1.2,0.1,50,55,5.0,0.1,2023-02-26,2023-03-05,2.0
1,3M,TLHTPA,,USA-USA,2023-08,ADD,0.7,0.8,0.1,33,36,3.0,0.1,2023-02-26,2023-03-05,2.0
2,3M,TOTAL,,,2023-08,ADD,-,-,-,-,-,172.0,0.3,2023-02-26,2023-03-05,
3,3M,,,,2049-12,,,,,,,,,,,
1,7H,LASONT,,USA-USA,2023-06,NEW,0.0,0.3,0.3,0,66,66.0,1.0,2023-02-26,2023-03-05,1.0
2,7H,TOTAL,,,2023-06,ADD,-,-,-,-,-,66.0,0.0,2023-02-26,2023-03-05,
1,7H,LASONT,,USA-USA,2023-07,NEW,0.0,0.3,0.3,0,64,64.0,1.0,2023-02-26,2023-03-05,1.0
2,7H,TOTAL,,,2023-07,ADD,-,-,-,-,-,64.0,0.0,2023-02-26,2023-03-05,
